Среднее по полю Google review rating;Названия столбцов;;;;;;;;;;;Достопримечательности;ТОП 10 по гугл-рейтингу
Названия строк;Afternoon;All;All ;Anytime;Evening;Morning;Night;Общий итог;;;;Pangong Tso;4,9
Central;4,5;4,6;;;4,8;4,5;;4,5;;;;Rann Utsav;4,9
Eastern;4,4;4,5;;4,6;;4,5;;4,5;;;;Golden Temple (Harmandir Sahib);4,9
North Eastern;4,7;4,5;;;;4,5;;4,5;;;;Barsana Mandir;4,8
Northern;4,5;4,5;;;4,5;4,5;;4,5;;;;Augarnath Temple;4,8
Southern;4,4;4,5;;;4,4;4,4;;4,4;;;;Somnath Temple;4,8
Western;4,5;4,4;4,3;;4,6;4,6;4,4;4,4;;;;Brihadeeswarar Temple;4,8
Общий итог;4,5;4,5;4,3;4,6;4,5;4,5;4,4;4,5;;;;Mahalakshmi Temple;4,8
;;;;;;;;;;;;Buddha Park;4,8
;;;;;;;;;;;;Banke Bihari Temple;4,8
;;;;;;;;;;;;Dras War Memorial;4,8
;;;;;;;;;;;;Tungnath Temple;4,8
;;;;;;;;;;;;Gangotri Temple;4,8
;;;;;;;;;;;;Mahakaleshwar Jyotirlinga;4,8
;;;;;;;;;;;;Badrinath Temple;4,8
;;;;;;;;;;;;Orchha Fort;4,8
;;;;;;;;;;;;Paragliding Site;4,8
;;;;;;;;;;;;Radhanagar Beach;4,8
;;;;;;;;;;;;Prem Mandir;4,8
;;;;;;;;;;;;Gurudwara Bangla Sahib;4,8
;;;;;;;;;;;;Ram Janmabhoomi;4,8
;;;;;;;;;;;;Jallianwala Bagh;4,8
;;;;;;;;;;;;Siddhivinayak Temple;4,8
;;;;;;;;;;;;Kargil War Memorial;4,8
;;;;;;;;;;;;Triund Trek;4,8
;;;;;;;;;;;;Kedarnath;4,8
;;;;;;;;;;;;Wagah Border;4,8
;;;;;;;;;;;;Key Monastery;4,8
;;;;;;;;;;;;Kirti Mandir;4,8
;;;;;;;;;;;;Общий итог;4,8
